16,11,12,12,12,13,14,15,14,12,15,14,16,17,19,14,12,16,18,13,17,36,23,14,53,12,14,35,13,16,16
17,11,12,12,12,13,14,15,14,12,15,14,16,17,19,14,12,16,18,13,17,36,23,14,53,12,14,35,13,16,16
18,11,12,12,12,13,14,15,14,12,15,14,16,17,19,14,12,16,18,13,17,36,23,14,53,12,14,35,13,16,16
19,11,12,12,12,13,14,15,14,12,15,14,16,17,19,14,12,16,18,13,17,36,23,14,53,12,14,35,13,16,16
13,11,12,12,12,13,14,15,14,12,15,14,16,17,19,14,12,16,18,13,17,36,23,14,53,12,14,35,13,16,16
18,11,12,12,12,13,14,15,14,12,15,14,16,17,19,14,12,16,18,13,17,36,23,14,53,12,14,35,13,16,16
19,11,12,12,12,13,14,15,14,12,15,14,16,17,19,14,12,16,18,13,17,36,23,14,53,12,14,35,13,16,16
32,11,12,12,12,13,14,15,14,12,15,14,16,17,19,14,12,16,18,13,17,36,23,14,53,12,14,35,13,16,16
20,11,12,12,12,13,14,15,14,12,15,14,16,17,19,14,12,16,18,13,17,36,23,14,53,12,14,35,13,16,16
21,11,12,12,12,13,14,15,14,12,15,14,16,17,19,14,12,16,18,13,17,36,23,14,53,12,14,35,13,16,16
32,11,12,12,12,13,14,15,14,12,15,14,16,17,19,14,12,16,18,13,17,36,23,14,53,12,14,35,13,16,16
25,11,12,12,12,13,14,15,14,12,15,14,16,17,19,14,12,16,18,13,17,36,23,14,53,12,14,35,13,16,16



